state,value,amount
Hokkaido,1360,1
Aomori,1390,1
Iwate,1318,1
Miyagi,1209,1
Akita,1796,1
Yamagata,1244,1
Fukushima,1172,1
Ibaraki,1426,1
Tochigi,1592,1
Gunma,1249,1
Saitama,1306,1
Chiba,1605,1
Tokyo,1779,1
Kanagawa,1970,1
Niigata,1499,1
Toyama,2336,2
Ishikawa,2391,2
Fukui,2027,2
Yamanashi,1125,1
Nagano,923,0
Gifu,1988,1
Shizuoka,2442,2
Aichi,1686,1
Mie,1786,1
Shiga,1764,1
Kyoto,1840,1
Osaka,1454,1
Hyogo,1346,1
Nara,1494,1
Wakayama,1508,1
Tottori,1795,1
Shimane,1800,1
Okayama,1513,1
Hiroshima,2124,2
Yamaguchi,2493,2
Tokushima,1715,1
Kagawa,1286,1
Ehime,1584,1
Koti,2823,2
Fukuoka,2421,2
Saga,2586,2
Nagasaki,2293,2
Kumamoto,2504,2
Oita,2199,2
Miyazaki,2951,2
Kagoshima,3285,3
Okinawa,2368,2
