state,value,amount
Hokkaido,1279,1
Aomori,1296,1
Iwate,1030,1
Miyagi,1180,1
Akita,1743,1
Yamagata,992,0
Fukushima,1071,1
Ibaraki,1486,1
Tochigi,1668,1
Gunma,1074,1
Saitama,1175,1
Chiba,1614,1
Tokyo,1570,1
Kanagawa,1998,1
Niigata,1810,1
Toyama,2323,2
Ishikawa,2676,2
Fukui,2493,2
Yamanashi,1004,1
Nagano,956,0
Gifu,1872,1
Shizuoka,2489,2
Aichi,1568,1
Mie,1714,1
Shiga,1583,1
Kyoto,1562,1
Osaka,1520,1
Hyogo,1255,1
Nara,1598,1
Wakayama,1637,1
Tottori,2281,2
Shimane,1562,1
Okayama,1106,1
Hiroshima,1478,1
Yamaguchi,1693,1
Tokushima,1639,1
Kagawa,1021,1
Ehime,1369,1
Koti,2985,2
Fukuoka,1769,1
Saga,1999,1
Nagasaki,2135,2
Kumamoto,2209,2
Oita,2263,2
Miyazaki,3191,3
Kagoshima,2895,2
Okinawa,2733,2
