state,value,amount
Hokkaido,1179,1
Aomori,1236,1
Iwate,1392,1
Miyagi,1638,1
Akita,1675,1
Yamagata,1439,1
Fukushima,1283,1
Ibaraki,1333,1
Tochigi,1456,1
Gunma,1060,1
Saitama,1349,1
Chiba,1479,1
Tokyo,1577,1
Kanagawa,1823,1
Niigata,2024,2
Toyama,2425,2
Ishikawa,3128,3
Fukui,3042,3
Yamanashi,1037,1
Nagano,993,0
Gifu,2126,2
Shizuoka,2596,2
Aichi,1727,1
Mie,1870,1
Shiga,2090,2
Kyoto,2042,2
Osaka,1702,1
Hyogo,1602,1
Nara,1634,1
Wakayama,1617,1
Tottori,2141,2
Shimane,2241,2
Okayama,1531,1
Hiroshima,1985,1
Yamaguchi,2484,2
Tokushima,2040,2
Kagawa,1395,1
Ehime,1867,1
Koti,2837,2
Fukuoka,2976,2
Saga,2627,2
Nagasaki,2826,2
Kumamoto,2763,2
Oita,2527,2
Miyazaki,2642,2
Kagoshima,2942,2
Okinawa,1755,1
