state,value,amount
Hokkaido,1254,1
Aomori,1571,1
Iwate,1229,1
Miyagi,1214,1
Akita,1834,1
Yamagata,1145,1
Fukushima,1092,1
Ibaraki,1499,1
Tochigi,1620,1
Gunma,1340,1
Saitama,1382,1
Chiba,1259,1
Tokyo,1480,1
Kanagawa,1557,1
Niigata,1858,1
Toyama,2669,2
Ishikawa,2467,2
Fukui,2670,2
Yamanashi,1424,1
Nagano,959,0
Gifu,1779,1
Shizuoka,2498,2
Aichi,1786,1
Mie,1752,1
Shiga,1719,1
Kyoto,1651,1
Osaka,1614,1
Hyogo,1625,1
Nara,1473,1
Wakayama,1751,1
Tottori,2376,2
Shimane,1976,1
Okayama,1417,1
Hiroshima,1502,1
Yamaguchi,1891,1
Tokushima,2563,2
Kagawa,1604,1
Ehime,1633,1
Koti,2686,2
Fukuoka,1849,1
Saga,2005,2
Nagasaki,2169,2
Kumamoto,2154,2
Oita,1959,1
Miyazaki,2590,2
Kagoshima,2063,2
Okinawa,2122,2
