state,value,amount
Hokkaido,1347,1
Aomori,1664,1
Iwate,1643,1
Miyagi,1112,1
Akita,2373,2
Yamagata,1347,1
Fukushima,1202,1
Ibaraki,1338,1
Tochigi,1505,1
Gunma,999,0
Saitama,1288,1
Chiba,1447,1
Tokyo,1614,1
Kanagawa,1517,1
Niigata,2327,2
Toyama,2863,2
Ishikawa,3318,3
Fukui,2726,2
Yamanashi,939,0
Nagano,1138,1
Gifu,1876,1
Shizuoka,1822,1
Aichi,1464,1
Mie,1394,1
Shiga,1589,1
Kyoto,1451,1
Osaka,1418,1
Hyogo,1298,1
Nara,1501,1
Wakayama,1370,1
Tottori,2048,2
Shimane,2035,2
Okayama,1341,1
Hiroshima,1821,1
Yamaguchi,2267,2
Tokushima,1949,1
Kagawa,1537,1
Ehime,1623,1
Koti,2327,2
Fukuoka,1802,1
Saga,2012,2
Nagasaki,1683,1
Kumamoto,1975,1
Oita,1505,1
Miyazaki,2079,2
Kagoshima,1777,1
Okinawa,2071,2
